bw	num	pct	qlen	maxq	avgq	maxd	avgd	rate
80	20	0.95	14	174.5	1.1	17	0	5670.5 (0.55)
80	24	0.95	14	180.0	1.7	17	0	5667.4 (0.55)
80	30	0.95	14	189.5	1.7	18	0	5662.8 (0.55)
80	40	0.95	14	231.5	1.7	22	0	6020.6 (0.59)
100	1	0.96	16	180.0	0.0	14	0	912.4 (0.07)
100	2	0.96	16	185.0	0.0	14	0	1413.4 (0.11)
100	3	0.96	16	180.0	0.0	14	0	1974.7 (0.15)
100	4	0.96	16	185.0	0.0	14	0	2487.9 (0.19)
100	5	0.96	16	185.0	0.0	14	0	3031.0 (0.24)
100	6	0.96	16	185.0	0.0	14	0	3571.6 (0.28)
100	8	0.96	16	185.0	0.0	14	0	4584.1 (0.36)
100	10	0.96	16	193.5	0.0	15	0	5627.9 (0.44)
100	12	0.96	16	193.5	0.0	15	0	6317.5 (0.49)
100	14	0.96	16	197.0	0.0	15	0	6601.7 (0.52)
100	16	0.96	16	195.0	0.1	15	0	6972.0 (0.54)
100	20	0.96	16	195.5	0.7	15	0	7552.6 (0.59)
100	24	0.96	16	195.5	1.4	15	0	7286.9 (0.57)
100	30	0.96	16	208.5	2.1	16	0	7868.2 (0.61)
100	40	0.96	16	243.5	2.2	19	0	7781.6 (0.61)
